CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
847158020,12/08/2016,17:00:00,12/08/2016,17:00:00,01/12/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,INSIDE,RESIDENCE - APT. HOUSE,40.87018238,-73.894980315,"(40.87018238, -73.894980315)"
389838015,12/08/2016,14:00:00,,,01/11/2017,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,CHAIN STORE,40.756077248,-73.964556268,"(40.756077248, -73.964556268)"
821725933,12/08/2016,10:46:00,12/08/2016,10:46:00,01/11/2017,126,MISCELLANEOUS PENAL LAW,779,"PUBLIC ADMINISTRATION,UNCLASSI",COMPLETED,FELONY,DEPT OF CORRECTIONS,BRONX,41,INSIDE,OTHER,40.791151867,-73.884371919,"(40.791151867, -73.884371919)"
909451800,12/08/2016,15:30:00,01/10/2017,14:30:00,01/10/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,40.854753119,-73.893562353,"(40.854753119, -73.893562353)"
901510044,12/08/2016,19:54:00,12/09/2016,20:14:00,01/09/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,STORE UNCLASSIFIED,40.713794089,-73.993447166,"(40.713794089, -73.993447166)"
502453271,12/08/2016,13:00:00,12/28/2016,15:00:00,01/09/2017,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,COMMERCIAL BUILDING,40.743511609,-73.994227355,"(40.743511609, -73.994227355)"
456473226,12/08/2016,13:40:00,12/08/2016,13:40:00,01/07/2017,341,PETIT LARCENY,305,"LARCENY,PETIT BY CREDIT CARD U",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,72,INSIDE,RESIDENCE - APT. HOUSE,40.659112168,-73.986680164,"(40.659112168, -73.986680164)"
556742947,12/08/2016,22:11:00,12/08/2016,22:15:00,01/06/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,106,INSIDE,COMMERCIAL BUILDING,40.677605279,-73.82821878,"(40.677605279, -73.82821878)"
374118341,12/08/2016,12:00:00,12/09/2016,12:00:00,01/06/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,40.764871618,-73.920831286,"(40.764871618, -73.920831286)"
528951279,12/08/2016,17:00:00,01/04/2017,17:00:00,01/05/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84,INSIDE,COMMERCIAL BUILDING,40.702699563,-73.990692814,"(40.702699563, -73.990692814)"
